,Annualized_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Skewness,Kurtosis,Sortino_Ratio,VaR_95
AAPL,0.36532047574390003,0.30847990443118456,1.1842602078651623,-0.314272539378387,-0.010369194655371854,5.5084612048169355,1.6406695029583842,-0.029475532631673414
MSFT,0.2919541202169693,0.29004373814449946,1.0065865309993973,-0.3714851387330086,-0.042459596096799924,7.452872140824288,1.3816498065538154,-0.027960464230838155
GOOGL,0.26468888257194023,0.3121255670841119,0.8480205099655026,-0.44320044931267993,-0.03206174069312806,4.133550059603923,1.1729385729544513,-0.029755192607906752
AMZN,0.23479256152552963,0.3413865629215598,0.6877615788863892,-0.5614526325328224,0.06491118562990512,4.339050885385838,0.9943412337121703,-0.03210300779303178
TSLA,0.7097741619564075,0.644848246066835,1.100684023389347,-0.7363221744219106,0.2012977968118053,3.524271930213627,1.6293532854218462,-0.06046723485520235
META,0.3381644237651379,0.4252608834614215,0.7951928731667963,-0.7673609258441495,-0.2707663146921554,19.11988719898733,1.035304730602185,-0.0384949837001633
NVDA,0.7536798088381504,0.5189315963541793,1.4523683162351742,-0.6633508667198108,0.35630057704518653,4.203232810643296,2.285695636260022,-0.04723509126212229
JPM,0.2231415620270292,0.3066203723073924,0.7277453886962403,-0.43626519529211594,0.439493559128362,13.92130659519563,0.9888436293775962,-0.0274979873001127
V,0.18643310595848192,0.2651027919798978,0.7032483685521456,-0.36364919393159884,0.22704631789953628,10.867901432646908,0.9321325872993763,-0.025260263881923376
JNJ,0.06537512117445261,0.19154119408484735,0.34131102443421796,-0.2736628777656847,0.2519322869714816,8.269200078565557,0.4705920882659815,-0.016452137421483746
