,Open,High,Low,Close,Volume,Log_Return,Simple_Return
2019-01-02,127.98562432545164,136.43927241230728,127.55896464929714,134.62351989746094,28146200,,
2019-01-03,133.64122947499789,136.10191454525946,130.0990202583124,130.71420288085938,22717900,-0.029468858632323038,-0.029038885772554313
2019-01-04,132.96657520035535,136.92551399002576,132.70860504468078,136.8759002685547,29002100,0.046061395331980295,0.04713869841146057
2019-01-07,136.48890751648534,137.78870497792076,134.85176104703956,136.97509765625,20089300,0.0007244625200245146,0.0007247250063793231
2019-01-08,138.80076833438764,142.02546273037706,138.45348749728953,141.4202117919922,26263800,0.03193654341120555,0.03245198734515631
2019-01-09,141.83691678385495,143.57329040869396,140.1700053711982,143.10694885253906,22205900,0.011856561015325699,0.011927128655611297
2019-01-10,141.96591985678148,143.43439170578438,139.74335600263245,143.0771942138672,16125000,-0.00020794051312753972,-0.00020791889499749416
2019-01-11,142.0353804014832,144.22817926755195,141.45990979769772,142.68032836914062,12908000,-0.0027776423612626876,-0.0027737882819629522
2019-01-14,140.89431617189211,145.42873910742972,140.17000456034268,144.25791931152344,20520300,0.010996141862029482,0.011056821640480718
2019-01-15,144.87309661692566,149.5067321308206,144.85326324648588,147.7902069091797,24069000,0.024190943459177074,0.02448591810081724
2019-01-16,147.83982810953688,148.4847609010033,145.85540088659008,146.3911895751953,18025700,-0.009511328028023586,-0.009466238414864048
2019-01-17,145.8057996434548,147.83984074886803,145.3593065081152,147.14529418945312,15787900,0.005138075264813748,0.005151297809971478
2019-01-18,148.58398408281647,151.24310921857838,147.39333081098312,148.87171936035156,31029600,0.011664496746348703,0.011732792274522952
2019-01-22,148.0382726761916,150.3501322838118,145.23030624650642,146.4209747314453,22378700,-0.016599129941580023,-0.016462123494215164
2019-01-23,147.12544359412522,147.64139894809395,141.94608696153634,143.1764373779297,20098400,-0.022408163751000187,-0.02215896567733222
2019-01-24,143.51376723752094,145.299754655157,141.41027935673696,144.6945037841797,20955500,0.010546951855179178,0.01060276700587881
2019-01-25,146.3316459680305,148.66335380044498,145.3989628350647,147.8497314453125,22237200,0.02157178050443749,0.02180613346474458
2019-01-28,146.89723255465768,147.8001506014188,145.07156308910322,146.32174682617188,15508500,-0.010388487489370813,-0.01033471352435833
2019-01-29,146.93693418178714,146.9468660091164,142.31321436060531,143.0673065185547,17632100,-0.02249274792569752,-0.022241672056330875
2019-01-30,145.0814848865154,149.7746513338501,144.5655295359058,149.248779296875,44613200,0.04229937884173033,0.04320674603263486
2019-01-31,164.31058063740673,170.34322609112806,163.7152464126422,165.39208984375,77233600,0.1027043837191517,0.10816376939850136
2019-02-01,164.54873152601044,167.78335817544095,164.370140310756,164.4197540283203,30806500,-0.005896323316242519,-0.005878974117494273
2019-02-04,164.40976807844868,167.9817426074819,162.3459622550046,167.93212890625,20036000,0.021137269443035258,0.02136224384160501
2019-02-05,167.8329267133362,170.6408930571049,167.37651692938948,169.82728576660156,22557000,0.011222051358290687,0.011285254779385134
2019-02-06,169.8669692977403,171.1270848386497,167.9520042717718,169.16250610351562,13281200,-0.00392212704468114,-0.003914445550284307
2019-02-07,166.89032404823783,167.92223466788164,163.96329696401648,165.08450317382812,17517600,-0.024402344234543648,-0.02410701415827954
2019-02-08,163.18936817435636,166.06678149085363,162.93139809480107,166.027099609375,12561400,0.005693542442626341,0.005709781459949381
2019-02-11,166.592671206755,166.98956576367348,163.79463649538135,164.4990997314453,12811200,-0.009245928258210407,-0.009203316094328784
2019-02-12,165.56074921084456,167.0292209870877,163.21912468873836,163.75491333007812,16292300,-0.004534218298882008,-0.004523954250096884
2019-02-13,164.09229314596084,164.92574895228006,162.45513159071416,162.79249572753906,14205100,-0.005894521668053041,-0.005877183059534441
2019-02-14,161.91933925465693,163.58625082978747,160.98665605143856,162.6734161376953,12755200,-0.0007317484923369982,-0.000731480829700204
2019-02-15,163.22905458754357,163.41757759475078,159.6074809879609,161.23471069335938,15504400,-0.008883475199103373,-0.008844133715850355
2019-02-19,159.25028100750322,162.87185455074814,159.08160651419917,161.02633666992188,14345400,-0.0012932003677280893,-0.0012923645444670173
2019-02-20,160.9866514457365,162.4452066022366,159.9944378775039,161.2942352294922,11770700,0.0016623116525359184,0.0016636940584413562
2019-02-21,160.66915224846838,160.9767512036217,158.34737589523792,158.7938690185547,15607800,-0.015623305187491637,-0.01550189445630179
2019-02-22,159.3296582013833,161.14541086625505,159.06175629608018,160.62945556640625,15858500,0.011493254327371716,0.01155955553697785
2019-02-25,161.80030708358842,164.77694839988933,161.6316174191484,163.33822631835938,18737100,0.01672286483944694,0.01686347464978666
2019-02-26,163.0603613594554,164.94557607497825,162.52457273629238,162.8520050048828,13784100,-0.002981215419098426,-0.002976776009119164
2019-02-27,161.6316082228834,162.65358713880127,159.16100576050974,161.5423126220703,12697500,-0.008074737612744605,-0.008042224489488103
2019-02-28,161.10573641433965,162.22694275955087,159.60749915178485,160.19290161132812,11114200,-0.008388381896905302,-0.008353297590205644
2019-03-01,161.33394935851342,161.85982139424212,160.43103128208145,161.0164337158203,11097800,0.005127708434171848,0.005140877630709806
2019-03-04,162.6238202106053,166.19579560497266,162.55437312403737,166.06680297851562,18894700,0.030883702441238402,0.031365551615736065
2019-03-05,166.06675822833125,170.54165052208472,165.2531510821787,169.9264678955078,28187900,0.022975666700245687,0.023241640398722563
2019-03-06,171.55372600546673,172.21852244305563,169.9364281267931,171.16676330566406,21531700,0.0072725036044499316,0.007299012481792655
2019-03-07,170.16463653715266,170.40277325733447,166.304926144912,167.81309509277344,18306500,-0.01978747441682468,-0.01959298726062697
2019-03-08,164.90589884827753,168.29926757550456,164.67769395731773,168.27943420410156,13184800,0.002775065614081959,0.002778919672927316
2019-03-11,170.26388294283385,172.9428569987217,170.244034428944,170.730224609375,18884000,0.014458780376974992,0.014563814151531629
2019-03-12,170.75003435805678,172.446726271351,169.8868133730355,170.58135986328125,12155300,-0.0008723100082485206,-0.0008719296564762002
2019-03-13,170.97826831614842,172.67494522769573,170.77981346850004,172.02008056640625,11973300,0.008398850621722033,0.008434219918742158
2019-03-14,168.43817475360422,169.81735104764905,166.8506420826052,168.84498596191406,18037400,-0.018630166308556635,-0.01845769746204995
2019-03-15,165.858442083391,166.2751700114422,161.24463939572104,164.6876220703125,37135400,-0.024930571210230273,-0.024622371034099477
2019-03-18,162.2963882822019,162.6238054519901,158.0397833952159,159.22052001953125,37524200,-0.03376032026018212,-0.03319679999051239
2019-03-19,160.2226552079197,162.5444466443645,159.5678057083889,160.3119659423828,25611500,0.006831544306848682,0.00685493253456082
2019-03-20,160.2424859411437,164.82650762915654,159.98451587237324,164.1518096923828,20211500,0.023669964507000554,0.023952321509051133
2019-03-21,163.60606782429937,165.0943879325221,162.4749451476491,164.78680419921875,16223000,0.0038608741498041455,0.0038683369255929634
2019-03-22,164.36017641903754,166.1163987263316,162.81232562887112,163.0603790283203,16389200,-0.010531986959238829,-0.010476719779159538
2019-03-25,161.73081738718392,165.24324688234591,160.73860378358157,164.9951934814453,12631200,0.011795787357250837,0.011865632011004656
2019-03-26,166.04695721457836,168.13059675582596,165.05474358351418,166.37437438964844,15437900,0.008324173404873271,0.008358915669614442
2019-03-27,166.54308535275763,167.62459471548925,163.5068985353939,164.5784912109375,10620300,-0.01085290984174767,-0.01079422949176645
2019-03-28,163.28862111015164,165.42187457753792,162.05827063232203,164.260986328125,10443000,-0.0019310636536308131,-0.0019292003497927146
2019-03-29,165.09442273136773,165.88819665106104,163.52672340346746,165.39208984375,13455500,0.006862414072711609,0.006886014390328432
2019-04-01,166.52320785848195,167.58486852209703,165.97748735850328,167.3864288330078,10381500,0.011986127433330466,0.012058248923161319
2019-04-02,168.81522772396372,173.53815918933915,168.22982531127647,172.84361267089844,23946500,0.03208212819086388,0.03260230758214555
2019-04-03,173.14128299216478,176.5743489039153,171.60334879718988,172.18875122070312,27391100,-0.0037959467288540788,-0.0037887512305253557
2019-04-04,174.64942932128906,176.61400786622545,174.1632392425016,174.64942932128906,17847700,0.014189437752838995,0.014290585669164635
