,Open,High,Low,Close,Volume,Log_Return,Simple_Return
2019-01-02,50.93898977352967,52.6047230648871,50.843776043780714,52.301727294921875,31868000,,
2019-01-03,52.1028687333839,52.8759780134997,50.699466979891106,50.85319519042969,41960000,-0.02808644107322292,-0.027695683860001874
2019-01-04,51.700692372040024,53.55734876361941,51.41802873823579,53.461639404296875,46022000,0.050021420115567816,0.05129361496557605
2019-01-07,53.60545126402301,53.69124047708747,52.696463948265446,53.35502243041992,47446000,-0.0019962617713740172,-0.001994270566053502
2019-01-08,53.85489011971535,54.21937794351435,52.9796244703007,53.82365036010742,35414000,0.008744853876433248,0.008783201811950025
2019-01-09,53.95357439752464,54.13457733639377,53.2781531970929,53.6391716003418,26998000,-0.0034333537425968426,-0.0034274665231988077
2019-01-10,53.30641921144527,53.547922917061186,52.79762396249132,53.499324798583984,26598000,-0.0026105813667571167,-0.0026071767625307496
2019-01-11,53.05648645219858,53.228564287913436,52.38850724708884,52.78721237182617,30864000,-0.013400061783140866,-0.013310680638284667
2019-01-14,52.23527672360006,52.48868312031389,51.997741804598526,52.144527435302734,28490000,-0.012249734432026196,-0.012175011856971119
2019-01-15,52.46686220785265,53.96746024116966,52.28982429846491,53.88018035888672,37518000,0.03274346193471296,0.033285428192583844
2019-01-16,54.05325069106837,54.666184830089556,53.95456755691764,54.02894973754883,38280000,0.002757310206911313,0.002761115082970722
2019-01-17,53.95357830753692,54.58386705102719,53.71901337333294,54.505516052246094,24896000,0.008781899353868363,0.00882057335950881
2019-01-18,54.97512970149426,55.44177382173564,54.51344565423578,54.91115951538086,44892000,0.0074146892047526934,0.007442246079202963
2019-01-22,54.35078698504477,54.49807201599434,53.105577913242634,53.48940658569336,39632000,-0.026232971168393758,-0.025891875936243203
2019-01-23,53.897540179274316,54.19954471873332,52.94094970105131,53.77604675292969,25194000,0.0053445138319819984,0.005358821223359733
2019-01-24,53.681816457292754,53.954068082652434,53.06243540230298,53.755706787109375,29114000,-0.00037830622850061645,-0.00037823467972208924
2019-01-25,54.263012668104324,54.7157716075917,54.14251051447495,54.62403106689453,23260000,0.016024081197343457,0.016153155296125377
