,Open,High,Low,Close,Volume
2019-01-02,92.73068564935639,94.77997966425383,92.16247095211507,94.1931381225586,35329300
2019-01-03,93.24300972046,93.32684829113309,90.54166232197043,90.72796630859375,42579100
2019-01-04,92.88905108847246,95.48793330274081,92.15316626592872,94.94766235351562,44060600
2019-01-07,94.67751315480037,96.19585325052537,94.06272780016921,95.06874084472656,35656100
2019-01-08,95.98162960381391,96.84792370348103,94.74273459229953,95.75807189941406,31514400
2019-01-09,96.74543914679175,97.69556453271322,96.167907492278,97.12734985351562,32280800
2019-01-10,96.14928322503938,96.64297632847756,95.3668207332209,96.50325012207031,30067600
2019-01-11,96.12135583410306,96.35423051566119,94.6775299657341,95.75807189941406,28314200
2019-01-14,94.9196991567882,95.82325384444417,94.32354068165286,95.0594253540039,28437100
2019-01-15,95.48789690913696,97.85390354767617,94.90104840607766,97.81664276123047,31587600
2019-01-16,98.04954063884693,98.98103920096884,97.77008822750236,98.16131591796875,29853900
2019-01-17,97.80735829633008,99.32569853811184,97.58380061011998,98.85063934326172,28393000
2019-01-18,100.09885139469263,100.50871310482539,98.65503264569345,100.33172607421875,37427600
2019-01-22,99.43747623484761,99.76349932573893,97.67694443726407,98.4407730102539,32371300
2019-01-23,98.85062679677567,99.70760374078597,98.12405197196367,99.40020751953125,25874300
2019-01-24,99.53992514098293,99.67033435571054,98.12404351426993,98.92513275146484,23164800
2019-01-25,99.89391708712179,100.49007567756269,98.92515760096258,99.8287124633789,31225600
2019-01-28,98.98104271102594,99.18597353904319,97.49064638013259,97.88187408447266,29476700
2019-01-29,97.69557606301235,97.77941463721287,95.17121556891286,95.88847351074219,31490500
2019-01-30,97.45335677040677,99.09278869628906,97.18322140486785,99.09278869628906,49471900
2019-01-31,96.68957132056067,98.01229781569229,96.11203954770808,97.27641296386719,55636400
2019-02-01,96.67093196950103,96.96901126312676,95.33888857150485,95.73943328857422,35535700
2019-02-04,95.82325451396552,98.55254543913937,95.73009897732443,98.49665069580078,31315100
2019-02-05,98.79472539302657,99.92183768821825,98.70157696743796,99.8752670288086,27325400
2019-02-06,99.6703393486801,99.6703393486801,98.30103541867585,98.76678466796875,20609800
2019-02-07,97.98433103998504,98.35692476046651,97.14598095536239,98.05884552001953,29760700
2019-02-08,97.2391479593902,98.53393057366128,97.11805568778053,98.43146514892578,21461100
2019-02-11,98.92515834229567,99.27913239392764,97.77941892983175,98.04023742675781,18914100
