,Open,High,Low,Close,Volume,Log_Return,Simple_Return
2019-01-02,104.09972155464489,104.30283502843632,102.59667688976324,103.79098510742188,7631700,,
2019-01-03,104.10782205479188,104.21344500836271,101.84920164269472,102.14168548583984,8654500,-0.016018195479230776,-0.015890586450018174
2019-01-04,103.2791460013006,104.52219332616947,102.96228946390565,103.85598754882812,8831700,0.016644281597396157,0.016783569360875106
2019-01-07,103.69349102019989,104.27846502974893,103.0191589811121,103.18977355957031,8404700,-0.006435449679930024,-0.006414786522968563
2019-01-08,104.1403304202161,106.02522933679337,103.77473485906722,105.58650970458984,9351600,0.02296085937962629,0.023226489043857823
2019-01-09,105.48087249495225,105.81398150978305,104.26219186250246,104.7496566772461,7403500,-0.007957332849309622,-0.007925757084736529
2019-01-10,103.74225464875983,105.52965099355798,103.74225464875983,105.38341522216797,6224400,0.0060319916403139915,0.006050220736041334
2019-01-11,104.80655312951589,105.48901143041304,104.24595795482799,105.4158935546875,5300400,0.00030814458515035574,0.0003081920665699567
2019-01-14,104.59533005039094,104.77407091810167,103.66100053334596,104.22159576416016,7374400,-0.011394056617850194,-0.011329390192075461
2019-01-15,104.41657128874466,105.20465250757964,103.70973421443753,105.09902954101562,5194400,0.008383683307430756,0.008418924795979832
2019-01-16,105.13965096488003,105.13965096488003,103.91284397108672,104.02658081054688,6264200,-0.010256592965770847,-0.010204173484306245
2019-01-17,103.7584926058546,105.22903846178417,103.55537911953859,104.87967681884766,7632000,0.008167306811357446,0.00820075024723188
2019-01-18,105.53776562810488,106.57770571679606,105.17216382141972,106.17961120605469,10593000,0.012318347485990856,0.012394530824616501
2019-01-22,104.15658855318213,105.21278111326843,103.18977261741291,104.6440658569336,10568100,-0.014567362878867297,-0.014461772195993206
2019-01-23,104.40032720505786,105.05029281103889,103.9372287253191,104.6440658569336,9267800,0.0,0.0
2019-01-24,104.39219695623771,104.56280531798153,101.5567286299474,103.20600891113281,9917000,-0.013837665384969673,-0.013742364978123534
2019-01-25,104.09970078563195,104.35967953374387,103.2059967204282,104.18093872070312,7585100,0.009402105606376845,0.009446444251223651
2019-01-28,103.83972180329947,104.92840695784078,103.41724853997036,104.79842376708984,6927700,0.005909548541621714,0.00592704437077618
2019-01-29,104.76591761045216,106.00085088803957,104.40031587086145,105.8871078491211,6669300,0.010334774900181571,0.010388363134647971
2019-01-30,105.91960379083594,107.39827573911965,105.86273846816601,106.95142364501953,7299300,0.010001240470049065,0.010051420021925495
