,Open,High,Low,Close,Volume,Log_Return,Simple_Return
2019-01-02,78.10154580828025,81.21909737647125,78.09341046218015,80.8365249633789,15670900,,
2019-01-03,80.94320326031377,81.14835128282279,79.34305118899164,79.68769836425781,16286400,-0.014313680386382498,-0.014211726687181847
2019-01-04,81.3288600818049,82.82233702275678,80.6477673326395,82.62539672851562,16935200,0.0362018750891235,0.036865142607449775
2019-01-07,82.41202641191786,83.26544254911208,81.82119937381277,82.68282318115234,15430700,0.0006947803923867913,0.0006950218081906989
2019-01-08,83.39674180248296,83.5526562468009,81.68991562837638,82.52691650390625,13578800,-0.0018873793255071167,-0.001885599345156752
2019-01-09,82.7238600477282,83.28186274031906,82.00174149404188,82.38742065429688,14230300,-0.0016917374836249483,-0.0016903073023789572
2019-01-10,82.07557499926311,82.65820058664386,81.46013125485747,82.37919616699219,14376100,-9.983196196157439e-05,-9.982697891708359e-05
2019-01-11,81.9689285883179,82.19869333038655,81.19757015941336,81.98534393310547,15439900,-0.004792432570436252,-0.004780967188467544
2019-01-14,81.13191863538869,83.17519059324879,80.9595950977975,82.8305435180664,21258500,0.010256377672428771,0.010309154592930136
2019-01-15,81.1483301999375,84.08605062157619,80.91035780437937,83.43778228759766,26504900,0.007304355371972784,0.007331097246739748
2019-01-16,83.90552401658965,84.89023181864901,83.53626015597227,84.11067199707031,18533000,0.008032223634119063,0.008064568484734025
2019-01-17,83.79063721801559,84.93125942832913,83.63472275769588,84.45531463623047,14247600,0.004089118169934454,0.004097490020911421
2019-01-18,85.15282135345633,86.08009423605688,84.38146920071674,85.8257064819336,16428700,0.016095997351501204,0.01622623575089066
2019-01-22,84.58660781987085,85.0051051479047,83.80704182056729,84.47172546386719,17083700,-0.01590170249286147,-0.015775937927774875
2019-01-23,84.8820363619768,85.09538576899817,83.67576515042543,84.25838470458984,12146700,-0.0025287824769696056,-0.0025255878000101095
2019-01-24,83.80704041709808,84.59480781391044,83.65113222834336,84.30760192871094,11296800,0.0005839520356706627,0.0005841225688534291
2019-01-25,84.939476708355,85.59594652907035,84.30761738446134,84.84100341796875,14369400,0.006306918774363774,0.006326849264540302
2019-01-28,84.43068839427565,85.53848605369262,84.18450835413033,85.24307250976562,12283100,0.004727895172518998,0.004739089303506638
2019-01-29,85.24308381251623,86.25241459820141,85.12000003674184,85.4810562133789,9743300,0.0027879346585483623,0.002791824562471179
2019-01-30,85.45644569938909,86.35909559783421,85.16103209471692,85.67800903320312,12526300,0.0023014019908290722,0.002304052249104016
2019-01-31,84.85739364601888,85.17742391927213,84.29939102023562,84.93124389648438,17520600,-0.008754154806168257,-0.008715948761476855
2019-02-01,85.34154577794746,86.03904754420121,84.94765896583864,85.24307250976562,13000800,0.00366481815679076,0.0036715418140031986
2019-02-04,85.1692508150906,85.54672241210938,84.5291900088144,85.54672241210938,9871500,0.00355583566837271,0.003562165152000585
2019-02-05,85.76824845271507,85.79287146456426,84.75892408853996,85.16921997070312,12763000,-0.004422587034850489,-0.004412821797984079
2019-02-06,85.10358758971033,85.8503292447961,84.9066472811484,85.12820434570312,8745000,-0.0004816940239432805,-0.00048157802800252725
2019-02-07,84.7261166336082,84.9312646157719,83.24084724614127,84.01219940185547,13177500,-0.013196387316059674,-0.01310969675004059
2019-02-08,83.766020944257,83.979370326255,82.10842183415416,83.1751937866211,12892600,-0.010012867504761299,-0.009962905639819386
2019-02-11,83.50343593503663,83.70858391602637,82.69104542267121,82.78131103515625,10978500,-0.004746827989423132,-0.0047355796065269296
2019-02-12,83.65934015796635,84.45531528798665,83.61010664827248,84.1927261352539,12852300,0.016906205795673025,0.017049924463001576
2019-02-13,84.43891752282788,85.21847741369325,84.43891752282788,84.5948257446289,10754100,0.004764573756461115,0.004775942386388898
2019-02-14,84.08607605581354,84.60304684077293,83.16701062193133,84.0450439453125,11518500,-0.006520210767146789,-0.006499000316828596
2019-02-15,85.25950169485284,86.73656339369685,85.06256138713088,86.61347961425781,14716900,0.030102564636329376,0.030560227568166676
2019-02-19,86.08829555124836,86.46576705782584,85.18563949136842,86.30985260009766,12764900,-0.0035116987661537253,-0.0035055399634374984
2019-02-20,86.33449134574421,86.81864392487918,86.06369445880198,86.72837829589844,10030300,0.004837387781527887,0.004849106830710825
2019-02-21,86.53142095832091,86.97454137455297,86.129332644944,86.54783630371094,8400100,-0.0020838642849876033,-0.002081694547216517
2019-02-22,86.73655165428119,87.05658195874699,85.98160869300898,86.16213989257812,10647300,-0.004466413125752976,-0.004456453536046068
2019-02-25,86.77761335709256,88.0249105769138,86.72837983518222,87.0648193359375,11230700,0.010422022276544297,0.010476520714141735
2019-02-26,85.751847659057,86.54782274907456,85.29231823002375,86.40011596679688,15465400,-0.007663873063690521,-0.007634580467868246
2019-02-27,86.30985848559992,86.47397436552244,85.760063401178,86.29344940185547,9968800,-0.0012353277700699952,-0.0012345650668154073
2019-02-28,86.17035650300254,86.33447237748071,85.48926372874146,85.63697052001953,15156900,-0.007636601742634337,-0.0076075169828803135
