,Open,High,Low,Close,Volume
2019-01-02,3.238651627517134,3.433010250221647,3.2240251353597276,3.376983404159546,508752000
2019-01-03,3.3167417748790142,3.350704994204598,3.1655188592795396,3.1729559898376465,705552000
2019-01-04,3.2460889111903297,3.41441746410469,3.2153485937451323,3.3762400150299072,585620000
2019-01-07,3.4335063448265637,3.5919186397254865,3.3821894994418393,3.554980516433716,709160000
2019-01-08,3.6365420131825394,3.6387733656129213,3.3938414171322027,3.466478109359741,786016000
2019-01-09,3.5177941511133715,3.5820021461537053,3.4672213296042775,3.5346519947052,617260000
2019-01-10,3.5153154560127566,3.60902397316226,3.4548261413772305,3.6003472805023193,523156000
2019-01-11,3.5780354085235424,3.71240095974809,3.550269993885523,3.689593553543091,874764000
2019-01-14,3.637285077023628,3.7547927822667417,3.6137338873293614,3.729506254196167,730168000
2019-01-15,3.7622302794111397,3.801647525137596,3.697030962334933,3.715376138687134,617012000
2019-01-16,3.7426459262234966,3.7756173598890985,3.6843879610240897,3.6898417472839355,470104000
2019-01-17,3.6568700231702356,3.8011515963552576,3.629600148348307,3.7612385749816895,493436000
2019-01-18,3.811067993420753,3.916428340056704,3.7595033779921327,3.8903980255126953,651336000
2019-01-22,3.8601542808171283,3.871805875768449,3.6578624682051086,3.6881070137023926,661552000
2019-01-23,3.7433894974450577,3.8321400049732044,3.6697612593247873,3.7009973526000977,591020000
2019-01-24,3.7855334670386362,3.9305585846595252,3.780823228932097,3.9129574298858643,708972000
2019-01-25,3.8534599692729863,3.9883210734512042,3.750826750296248,3.970223903656006,1154572000
2019-01-28,3.385164247758499,3.511348652137013,3.247576258086447,3.421358585357666,2511528000
2019-01-29,3.375248668190303,3.4235906211984206,3.2478246771064967,3.262451171875,1153932000
2019-01-30,3.338558257428193,3.4203674183114905,3.2589802124922285,3.405988931655884,974228000
2019-01-31,3.4027658628909117,3.5993558465088427,3.3809500088856073,3.563657283782959,842852000
2019-02-01,3.5822505818322514,3.6390212200351972,3.5346526511512444,3.5879523754119873,625048000
2019-02-04,3.603817555380121,3.7354559715584528,3.5817539341611235,3.698270082473755,528592000
2019-02-05,3.7101704192216434,3.75404990281436,3.6764551979518942,3.717359781265259,542424000
2019-02-06,3.750578749480347,3.8574266662735943,3.745124963345141,3.792970895767212,702464000
2019-02-07,3.7466121817433264,3.748843297496793,3.611751081428504,3.6546387672424316,637120000
