,Open,High,Low,Close,Volume
2019-01-02,104.69841333905165,104.9026949463044,103.18672445803742,104.38790130615234,7631700
2019-01-03,104.7065702523083,104.8128006679489,102.43495999109196,102.7291259765625,8654500
2019-01-04,103.87311854544936,105.123314806097,103.55443972261796,104.45327758789062,8831700
2019-01-07,104.28982505902819,104.87816321333013,103.6116149833884,103.78321075439453,8404700
2019-01-08,104.73925959031129,106.6349988887009,104.3715614254435,106.19375610351562,9351600
2019-01-09,106.08751008659516,106.42253486535293,104.8618206243323,105.35208892822266,7403500
2019-01-10,104.33886509639696,106.13654056359306,104.33886509639696,105.98946380615234,6224400
2019-01-11,105.40930334543216,106.09568651434508,104.84548414655403,106.02214813232422,5300400
2019-01-14,105.196859896951,105.37662870698647,104.25715703206387,104.82097625732422,7374400
2019-01-15,105.01707758060542,105.80969110427061,104.30617544167106,105.70346069335938,5194400
2019-01-16,105.7443112260387,105.7443112260387,104.51044884038845,104.62483978271484,6264200
2019-01-17,104.35521687847756,105.834219973754,104.1509352685281,105.48284912109375,7632000
2019-01-18,106.14468550524947,107.19060601532924,105.77698121892323,106.79022216796875,10593000
2019-01-22,104.75557653056474,105.81784308610423,103.78320059009575,105.24585723876953,10568100
2019-01-23,105.00071688466714,105.65442033948808,104.53495519921512,105.24585723876953,9267800
2019-01-24,104.99256280185617,105.16415234261866,102.14078752553442,103.79955291748047,9917000
2019-01-25,104.69840043900213,104.95987438052192,103.79955649049406,104.78010559082031,7585100
2019-01-28,104.43692267486453,105.53186905306728,104.01201969199562,105.40113830566406,6927700
2019-01-29,105.3684401404591,106.61047568126122,105.00073577732307,106.49607849121094,6669300
2019-01-30,106.52873643035015,108.01591206741854,106.47154408111616,107.56649017333984,7299300
2019-01-31,107.55833348041902,110.46730096801883,106.93730954372431,108.7431640625,17298100
2019-02-01,109.51127895197126,110.05875212043584,109.06185695745293,109.65835571289062,9575200
2019-02-04,109.46224029687652,109.61748381430475,108.03226932853597,108.57974243164062,7759000
2019-02-05,109.10270274418515,109.39686869926379,108.47351202697526,108.57974243164062,6449800
2019-02-06,108.7431670088615,109.14356337529712,108.1058095069322,108.67779541015625,5066100
2019-02-07,108.22839588585732,108.38365190640545,107.47664104752549,107.90155029296875,6085300
2019-02-08,107.81981092382946,108.23655330936029,107.4847861542264,108.18751525878906,4436700
2019-02-11,108.11397150875366,108.40813745576342,107.25598645761211,107.86066436767578,4962200
2019-02-12,107.92603210249396,109.74005329943225,107.92603210249396,109.62565612792969,6262300
2019-02-13,109.55212561621734,110.29570105012304,108.84939652135408,109.86262512207031,7902200
2019-02-14,109.74008609266049,110.16499534308264,108.96381844918409,109.74825286865234,3910400
2019-02-15,110.46732246250227,111.46421769009478,110.32023322369109,111.43970489501953,6665000
2019-02-19,111.2435740926666,111.4396888934683,110.8268441678656,110.87586975097656,5935500
2019-02-20,111.10466440661432,111.7256759082309,110.90854960530271,111.41517639160156,6089800
2019-02-21,110.29570535015743,110.95757566342472,109.71555265487586,110.65524291992188,6665500
2019-02-22,110.54903021211396,111.65215588977178,110.16499225748844,111.61947631835938,5223900
2019-02-25,112.15414351051659,113.09184537648838,111.75109148307817,112.03075408935547,6846600
2019-02-26,112.22814479124098,112.65587209802457,111.90735244891631,111.95670318603516,5106900
2019-02-27,111.47140149658998,112.0718563687113,111.36446653472727,111.75928497314453,4378100
2019-02-28,111.82509582489078,113.47018737818392,111.61123844134158,112.39265441894531,10133200
2019-03-01,112.86972131330535,114.01305932773188,112.69698119482956,113.79920196533203,5641600
2019-03-04,114.21048603095218,114.67110965739593,113.1082651521875,113.90613555908203,8377700
2019-03-05,114.17757251573538,114.4490141169044,113.80742944179653,114.1446762084961,6568900
2019-03-06,114.72046938496314,114.86852161175567,114.00485852002568,114.40789794921875,6236900
2019-03-07,113.94725006678507,114.43254899730205,113.2645356581193,113.7087173461914,6100400
2019-03-08,113.58534431475144,114.58063023598115,112.21169436142307,113.5606689453125,7046700
2019-03-11,113.60179600321007,114.35853660019778,113.11649701455255,113.97193908691406,6150400
2019-03-12,114.04595486468362,115.15639656627893,113.92257803164023,114.48190307617188,5552900
2019-03-13,114.81915663959629,115.0247930742475,114.35031209513853,114.67110443115234,6446900
2019-03-14,113.79097146957399,114.16934802183025,113.46195820321762,113.52776336669922,8493600
2019-03-15,113.51127941613844,113.72513672854507,112.5489026837361,113.18226623535156,11922500
2019-03-18,113.22340880857898,113.33034376423805,112.45844734408266,112.8285903930664,7369600
2019-03-19,113.19052311941594,114.18580901661207,113.07536721446412,113.87323760986328,5882500
2019-03-20,113.78274641337028,113.93079861255767,112.40086313236573,112.92729187011719,5475700
2019-03-21,112.6887691671265,114.1528996164546,112.64763936889884,113.59357452392578,5765100
2019-03-22,113.30567386258998,113.83210262568082,112.57360866780661,112.61473846435547,6528800
2019-03-25,112.61473191212606,112.69697894938668,111.65235497392486,112.36796569824219,4500300
2019-03-26,112.63116903928602,114.55593538557193,112.63116903928602,113.98015594482422,4758600
2019-03-27,113.99659376010149,114.72865885534208,113.5688790770969,114.08707427978516,6764900
2019-03-28,114.38319776352138,114.71222355899202,114.09531431241668,114.23514556884766,4602100
2019-03-29,114.56418685313254,115.05771939160641,114.23517352818585,114.98368072509766,7168400
2019-04-01,115.14815420789338,115.39490782807907,114.11997228695694,114.31737518310547,5885200
2019-04-02,114.34208851347046,114.34208851347046,112.61474984334777,113.27278900146484,5517800
2019-04-03,113.67581144669295,113.70872030276549,112.58182417672685,112.8285903930664,5947000
2019-04-04,112.58187305885485,112.69702900300625,111.15065097455265,111.5125732421875,5844600
2019-04-05,111.89912631536369,112.3433080807398,111.61946375260273,112.0142822265625,4759700
2019-04-08,111.90736579223348,112.28572985596044,111.61946972330993,111.98139190673828,4329600
2019-04-09,111.86626201670374,112.0801194698259,110.68179370482842,111.5125732421875,5210300
2019-04-10,111.77575441578853,111.97316993703983,111.31513075058903,111.52076721191406,4194100
2019-04-11,111.83334772750958,112.01429628119479,110.56661999433112,111.21643829345703,4485200
2019-04-12,111.22464691611899,112.15412771015603,110.83804937617718,111.84977722167969,5756800
2019-04-15,111.86622562374433,112.51603126483093,111.70171897862579,112.29395294189453,5380900
2019-04-16,113.77452959199229,115.73217986360036,113.14938681444296,113.52776336669922,10745700
2019-04-17,114.33389020788282,115.279813056087,113.23990255804044,113.93907165527344,9543700
2019-04-18,114.62176116030264,115.35382641329817,111.66059128804392,113.11650085449219,10485300
2019-04-22,112.67232910206079,113.91438139120115,112.24461428891078,113.37149810791016,4666500
2019-04-23,113.0342475509153,115.85558630178016,112.89441626458284,115.07415771484375,5790500
2019-04-24,114.86848742927461,115.27153928958127,114.21868193107585,114.49834442138672,5676300
2019-04-25,113.93907707357204,114.96725958836481,113.47845331511384,114.86854553222656,5218100
2019-04-26,115.05773233815673,115.58416124793868,114.58887511874431,115.47722625732422,4613600
2019-04-29,115.4443095577724,115.51010217770494,114.81094576920779,115.0248031616211,4275200
2019-04-30,115.312681254907,116.34908429663199,114.30095357957659,116.14344787597656,6003700
2019-05-01,115.9377998586378,117.08937122975289,114.9507476484319,116.76034545898438,6656300
2019-05-02,116.72748218316312,116.92488515042568,115.25511811337861,116.20927429199219,8835600
2019-05-03,116.21749651933034,116.87553570328608,116.04476892106223,116.80973052978516,5281600
2019-05-06,115.36198496618881,116.99885472579685,115.09876443053396,116.8754653930664,5818900
2019-05-07,115.83089035510085,116.29151393438566,114.38320190471859,115.13172149658203,6606700
2019-05-08,115.32092754135302,115.91316156710013,114.90965460964273,114.98368072509766,4667300
2019-05-09,114.29272406103641,114.59707450889545,113.21519118753258,114.11176300048828,5604200
2019-05-10,113.86499026532196,114.53948373443848,112.20345706047303,114.3749771118164,4771600
2019-05-13,113.38794140428148,113.56066899042258,112.30217494432685,112.85327911376953,5560000
2019-05-14,112.72168188405075,113.37972109832762,112.4666946693938,112.54073333740234,7179400
2019-05-15,112.60650497441465,113.09181649200838,111.3151147099324,112.61473846435547,6429400
2019-05-16,113.00955040259402,114.49013513587973,112.66408272333585,113.68404388427734,6857200
2019-05-17,112.68872472257372,114.35849095343028,112.57356886358525,114.01302337646484,6915300
2019-05-20,114.01308962585013,114.30098571613225,113.2481153993873,113.85680389404297,4771100
2019-05-21,114.43256931025591,114.8027249663727,113.57712718852966,113.61002349853516,4859000
2019-05-22,113.79917944468227,114.29269923356553,113.09178978467236,114.13641357421875,5456800
2019-05-23,113.92260208374881,115.03304401978811,113.23988751098328,114.98368072509766,6951800
2019-05-24,115.53028196394727,115.53028196394727,114.75179632163572,114.99197387695312,5473300
2019-05-28,115.11617663102164,116.35016033988687,113.50123998984321,113.51780700683594,11919600
2019-05-29,112.54057075392639,112.54057075392639,106.43693207067304,108.76409912109375,23247400
2019-05-30,108.8551820579475,109.99806611127347,108.63157156122477,109.4100570678711,7360600
