,Open,High,Low,Close,Volume,Log_Return,Simple_Return
2019-01-02,123.29858759769924,126.84579832781283,122.91921311705137,126.06806182861328,8788000,,
2019-01-03,124.44623944055682,124.51262347293017,121.28788921229953,121.52500915527344,9428300,-0.03670185608533187,-0.03603650764073796
2019-01-04,123.71596288405594,127.65202913104294,123.42194536078611,126.76048278808594,11065800,0.04217926522590164,0.04308145022332899
2019-01-07,127.51918228553498,130.0989691159746,127.13031406007575,129.0461883544922,12928000,0.017871046043000445,0.01803168871033267
2019-01-08,130.85779391375647,131.06645430474603,128.9514124930404,129.74810791015625,9243000,0.005424549822025467,0.005439289332094699
2019-01-09,131.1707705236297,132.28993570858302,130.5258163459614,131.2751007080078,9987600,0.011700187317624289,0.011768902240246293
2019-01-10,129.7575785649969,131.66397433090424,129.33077851085218,131.52169799804688,12514900,0.0018767151170087887,0.0018784772489914836
2019-01-11,130.64911302622707,131.45530208968404,130.32664318972925,130.94313049316406,5860100,-0.004408731221923043,-0.0043990270327213254
2019-01-14,129.9283236069322,131.00955730041753,129.60583922856847,130.03265380859375,8666700,-0.0069775085142900935,-0.0069532222205260785
2019-01-15,129.89980672583215,130.6206240061418,128.277949754875,130.2602081298828,7594900,0.0017484488630634067,0.0017499782910224138
2019-01-16,131.26556349817545,131.71133645916683,130.00413687568562,130.2602081298828,7258000,0.0,0.0
2019-01-17,129.90927548608641,130.800821335761,129.5488596390587,130.2032928466797,5864900,-0.0004370307847019738,-0.00043693530065891384
2019-01-18,131.1802656133575,131.45532452901455,129.59635405784425,131.3604736328125,10263500,0.008848231170957822,0.008887492480665893
2019-01-22,130.79137846123743,132.32787882072645,129.91880533561064,130.93365478515625,8102300,-0.003254508417425113,-0.003249218245431451
2019-01-23,131.61653318374465,131.81569976488365,129.13158202733752,129.94725036621094,5465800,-0.007562141192948334,-0.007533620141925046
2019-01-24,130.042086825511,131.18971863532582,129.48250433949858,130.60166931152344,4924800,0.005023396928941357,0.005036035341019041
2019-01-25,131.83468856367665,132.68828867196603,130.60169937331463,131.52169799804688,9756300,0.007019843168325908,0.007044540022906665
2019-01-28,130.42147808808767,130.42147808808767,127.8606635517627,128.97984313964844,9857200,-0.01951570437239801,-0.019326505794018733
2019-01-29,129.5489118336079,129.6437627175271,127.19675752898436,128.04087829589844,7457700,-0.007306562799987234,-0.007279934762623119
2019-01-30,129.08418992165306,130.79139018399187,128.52459281962317,130.50686645507812,8078100,0.01907626727132146,0.019259381784939578
2019-01-31,127.46233425101394,128.7332551669382,126.4285260942792,128.0503692626953,20095700,-0.01900214551283338,-0.018822742887849242
2019-02-01,128.4107635603971,133.11508627450948,128.28746031537318,132.92538452148438,13248300,0.03736425577673661,0.03807107536556931
2019-02-04,132.5839681154324,134.22479887919948,132.00541238642754,134.20582580566406,11882700,0.009586682807460195,0.009632782246890903
2019-02-05,134.68000050530756,135.58102578326034,134.5187656216494,135.18267822265625,8455700,0.0072524007820104494,0.00727876313213649
2019-02-06,134.64207733984975,135.07835658851963,133.77898366798033,134.19630432128906,6146900,-0.0073233501770430635,-0.0072965997887877165
2019-02-07,132.7072537201995,133.7884872123575,132.0338616575834,132.94436645507812,10675300,-0.00937294218810585,-0.009329153083184605
2019-02-08,131.54064004769637,133.16248276539403,131.37940515292124,133.14352416992188,5950700,0.0014969320968753733,0.001498053058991644
2019-02-11,133.9781646716907,134.95506790990797,133.20992178262782,133.54188537597656,7600100,0.0029875012886498454,0.0029919683179355783
2019-02-12,134.4808152544225,135.43875970133476,133.9686582561179,134.67051696777344,6090000,0.008416003462861258,0.008451517579067369
2019-02-13,135.52415484573362,137.2408487392814,135.50518177462888,136.09323120117188,6885600,0.010508994180982278,0.010564407603327775
2019-02-14,135.84618525328892,136.32123837020242,135.29512189797282,136.0172119140625,6314000,-0.000558738490274526,-0.0005585824249921822
2019-02-15,137.33789273253583,137.679931640625,136.64431907077622,137.679931640625,6536000,0.012150219474169636,0.012224333252860875
2019-02-19,137.21433121966777,137.65138643639756,136.83429455096592,137.23333740234375,8406700,-0.0032489856359898565,-0.0032437133935173668
