,Open,High,Low,Close,Volume
2019-01-02,50.93899348883383,52.60472690168377,50.843779752140335,52.30173110961914,31868000
2019-01-03,52.1028687333839,52.8759780134997,50.699466979891106,50.85319519042969,41960000
2019-01-04,51.70069606108683,53.557352585145914,51.41803240711344,53.46164321899414,46022000
2019-01-07,53.60545509662506,53.69124431582315,52.696467715878086,53.35502624511719,47446000
2019-01-08,53.8548939366267,54.21938178625841,52.97962822517848,53.82365417480469,35414000
2019-01-09,53.95357823458152,54.13458118632317,53.27815698611534,53.63917541503906,26998000
2019-01-10,53.30642301238766,53.54792673522367,52.797627727154754,53.49932861328125,26598000
2019-01-11,53.056482618042075,53.22856044132163,52.38850346120422,52.787208557128906,30864000
2019-01-14,52.23527672360006,52.48868312031389,51.997741804598526,52.144527435302734,28490000
2019-01-15,52.46686220785265,53.96746024116966,52.28982429846491,53.88018035888672,37518000
2019-01-16,54.053246874655336,54.6661809704005,53.9545637474721,54.02894592285156,38280000
2019-01-17,53.95357830753692,54.58386705102719,53.71901337333294,54.505516052246094,24896000
2019-01-18,54.97513733977686,55.441781524854086,54.513453228371674,54.91116714477539,44892000
2019-01-22,54.35079086117299,54.498075902626475,53.10558170056644,53.489410400390625,39632000
2019-01-23,53.89753635595871,54.19954087399449,52.94094594559311,53.77604293823242,25194000
2019-01-24,53.681824076200236,53.95407574019982,53.06244293330347,53.755714416503906,29114000
2019-01-25,54.263012668104324,54.7157716075917,54.14251051447495,54.62403106689453,23260000
2019-01-28,54.05672842479024,54.22037301937259,53.29006221997259,53.550411224365234,29334000
2019-01-29,53.608918268991935,53.7919075035448,52.8640749781177,53.06441879272461,19704000
2019-01-30,53.426431833040915,54.525351001051796,53.390727629345626,54.44947814941406,29452000
2019-01-31,55.156137781450056,55.92131329164981,54.80950393783051,55.83304214477539,40232000
2019-02-01,55.65451311988307,56.25505273717581,55.25581177728074,55.47251892089844,33116000
2019-02-04,55.491862423764644,56.64880046780075,55.41747645791283,56.60317611694336,78408000
