,Open,High,Low,Close,Volume
2019-01-02,127.98566784471883,136.43931880608926,127.5590080234862,134.62356567382812,28146200
2019-01-03,133.64127627641545,136.1019622084137,130.09906581924145,130.71424865722656,22717900
2019-01-04,132.96654555439258,136.92548346138585,132.70857545623448,136.87586975097656,29002100
2019-01-07,136.48890751648534,137.78870497792076,134.85176104703956,136.97509765625,20089300
2019-01-08,138.80076833438764,142.02546273037706,138.45348749728953,141.4202117919922,26263800
2019-01-09,141.83696215397032,143.57333633423224,140.17005020810993,143.10699462890625,22205900
2019-01-10,141.9659349970562,143.4344070026676,139.74337090587684,143.07720947265625,16125000
2019-01-11,142.03539559129902,144.2281946918742,141.45992492597048,142.6803436279297,12908000
2019-01-14,140.8943310748982,145.4287544900615,140.17001938673516,144.2579345703125,20520300
2019-01-15,144.8730816593174,149.5067166948067,144.85324829092534,147.79019165039062,24069000
2019-01-16,147.83984351932185,148.48477637801153,145.8554160895323,146.39120483398438,18025700
2019-01-17,145.8058147633399,147.83985607968071,145.35932158169948,147.1453094482422,15787900
2019-01-18,148.58398408281647,151.24310921857838,147.39333081098312,148.87171936035156,31029600
2019-01-22,148.0382726761916,150.3501322838118,145.23030624650642,146.4209747314453,22378700
2019-01-23,147.12545927377298,147.6414146827288,141.94610208920284,143.17645263671875,20098400
2019-01-24,143.5137975060694,145.2997853003888,141.41030918163793,144.6945343017578,20955500
2019-01-25,146.33166107014597,148.6633691432037,145.3989778409229,147.84974670410156,22237200
2019-01-28,146.89721723585558,147.8001351884582,145.0715479606864,146.3217315673828,15508500
2019-01-29,146.93688716727897,146.94681899143038,142.31316882552036,143.0672607421875,17632100
2019-01-30,145.08147005377919,149.7746360212973,144.56551475591945,149.24876403808594,44613200
2019-01-31,164.31058063740673,170.34322609112806,163.7152464126422,165.39208984375,77233600
2019-02-01,164.54870098449308,167.78332703355187,164.37010980238654,164.4197235107422,30806500
2019-02-04,164.4098278333982,167.98180366067032,162.34602125986112,167.93218994140625,20036000
2019-02-05,167.8329267133362,170.6408930571049,167.37651692938948,169.82728576660156,22557000
2019-02-06,169.86695397540728,171.12706940265178,167.9519891221724,169.16249084472656,13281200
2019-02-07,166.89032404823783,167.92223466788164,163.96329696401648,165.08450317382812,17517600
2019-02-08,163.18935317637016,166.0667662284176,162.93138312052375,166.02708435058594,12561400
2019-02-11,166.59265575376813,166.98955027387103,163.79462130193767,164.49908447265625,12811200
2019-02-12,165.5607800649606,167.02925211487005,163.21915510646622,163.75494384765625,16292300
2019-02-13,164.0923085265819,164.9257644110222,162.45514681788154,162.79251098632812,14205100
2019-02-14,161.91935444271346,163.58626617420055,160.98667115200928,162.67343139648438,12755200
2019-02-15,163.22908548259963,163.41760852548938,159.60751119754636,161.2347412109375,15504400
2019-02-19,159.25029609799398,162.8718699844177,159.08162158870638,161.02635192871094,14345400
2019-02-20,160.98666667542744,162.44522196991008,159.9944530133293,161.29425048828125,11770700
2019-02-21,160.66915224846838,160.9767512036217,158.34737589523792,158.7938690185547,15607800
2019-02-22,159.3296582013833,161.14541086625505,159.06175629608018,160.62945556640625,15858500
2019-02-25,161.80027685335008,164.7769176135051,161.63158722042746,163.33819580078125,18737100
2019-02-26,163.06039191607837,164.9456069848802,162.52460319251148,162.85203552246094,13784100
2019-02-27,161.6315776884361,162.65355641128804,159.16097569279344,161.5422821044922,12697500
2019-02-28,161.1057210686007,162.22692730701414,159.60748394875688,160.19288635253906,11114200
2019-03-01,161.33393406963486,161.8598060555291,160.4310160787683,161.01641845703125,11097800
2019-03-04,162.62380526816932,166.19578033433132,162.55435818798247,166.06678771972656,18894700
2019-03-05,166.066817877135,170.54171177820578,165.2532104387464,169.92652893066406,28187900
2019-03-06,171.55374129875187,172.21853779560456,169.936443275903,171.16677856445312,21531700
2019-03-07,170.164652009761,170.40278875159595,166.30494126656737,167.8131103515625,18306500
2019-03-08,164.90588389538485,168.2992523149171,164.67767902511758,168.2794189453125,13184800
2019-03-11,170.26388294283385,172.9428569987217,170.244034428944,170.730224609375,18884000
2019-03-12,170.75003435805678,172.446726271351,169.8868133730355,170.58135986328125,12155300
2019-03-13,170.97828348252506,172.67496054457362,170.77982861727304,172.0200958251953,11973300
2019-03-14,168.43817475360422,169.81735104764905,166.8506420826052,168.84498596191406,18037400
2019-03-15,165.858442083391,166.2751700114422,161.24463939572104,164.6876220703125,37135400
2019-03-18,162.2963882822019,162.6238054519901,158.0397833952159,159.22052001953125,37524200
2019-03-19,160.2226399576314,162.5444311730838,159.56779052043038,160.31195068359375,25611500
2019-03-20,160.24250083654022,164.8265229506624,159.98453074379006,164.15182495117188,20211500
2019-03-21,163.60611327266807,165.0944337943334,162.47499028180155,164.78684997558594,16223000
2019-03-22,164.36017641903754,166.1163987263316,162.81232562887112,163.0603790283203,16389200
2019-03-25,161.73081738718392,165.24324688234591,160.73860378358157,164.9951934814453,12631200
2019-03-26,166.04695721457836,168.13059675582596,165.05474358351418,166.37437438964844,15437900
2019-03-27,166.5430390299522,167.62454809186949,163.5068530570828,164.5784454345703,10620300
2019-03-28,163.28860594168904,165.42185921090982,162.0582555781511,164.26097106933594,10443000
2019-03-29,165.09442273136773,165.88819665106104,163.52672340346746,165.39208984375,13455500
2019-04-01,166.52323821867927,167.58489907585428,165.97751761920586,167.38645935058594,10381500
2019-04-02,168.81522772396372,173.53815918933915,168.22982531127647,172.84361267089844,23946500
2019-04-03,173.14128299216478,176.5743489039153,171.60334879718988,172.18875122070312,27391100
2019-04-04,174.64944458007812,176.614023296656,174.16325445881316,174.64944458007812,17847700
2019-04-05,175.50276289955312,175.62182369794476,173.73662373683996,174.35179138183594,9594100
2019-04-08,173.8457506054392,174.13348588633917,172.873370381757,173.5679168701172,7297400
2019-04-09,174.2525356988784,177.79474527640164,174.18308862440497,176.19728088378906,19751000
2019-04-10,176.79262244624147,177.39787338366907,175.16539265151494,176.43544006347656,11701500
2019-04-11,176.85214967264358,177.0108923352215,175.6217994128061,176.12782287597656,8071000
2019-04-12,176.61403375744985,178.23134688889846,176.56442004581427,177.70547485351562,12329800
2019-04-15,177.1101201320724,179.09454724839816,175.49280718747417,178.25115966796875,10834800
2019-04-16,177.60621122389023,178.76709916760677,176.91166482251825,177.4772186279297,11215200
2019-04-17,178.20157717015965,179.33270012285755,176.97122679670733,177.38795471191406,9973700
